keyword,alts,category,continent,first_letter
afghanistan,[],country,Asia,a
albania,[],country,Europe,a
algeria,[],country,Africa,a
andorra,[],country,Europe,a
angola,[],country,Africa,a
antigua and barbuda,[],country,North America,a
argentina,[],country,South America,a
armenia,[],country,Europe,a
australia,[],country,Australia,a
austria,[],country,Europe,a
azerbaijan,[],country,Asia,a
bahrain,[],country,Asia,b
bangladesh,[],country,Asia,b
barbados,[],country,North America,b
belarus,[],country,Europe,b
belgium,[],country,Europe,b
belize,[],country,North America,b
benin,[],country,Africa,b
bhutan,[],country,Asia,b
bolivia,[],country,South America,b
bosnia and herzegovina,[],country,Europe,b
botswana,[],country,Africa,b
brazil,[],country,South America,b
brunei,[],country,Asia,b
bulgaria,[],country,Europe,b
burkina faso,[],country,Africa,b
burundi,[],country,Africa,b
cambodia,[],country,Asia,c
cameroon,[],country,Africa,c
canada,[],country,North America,c
cape verde,['cabo verde'],country,Africa,c
central african republic,[],country,Africa,c
chad,[],country,Africa,c
chile,[],country,South America,c
china,[],country,Asia,c
colombia,[],country,South America,c
comoros,[],country,Africa,c
congo,"['republic of the congo', 'congo brazzaville', 'congo republic']",country,Africa,c
costa rica,[],country,North America,c
croatia,[],country,Europe,c
cuba,[],country,North America,c
cyprus,[],country,Europe,c
czech republic,[],country,Europe,c
democratic republic of the congo,"['drc', 'congo kinshasa']",country,Africa,d
denmark,[],country,Europe,d
djibouti,[],country,Africa,d
dominica,[],country,North America,d
dominican republic,[],country,North America,d
ecuador,[],country,South America,e
egypt,[],country,Africa,e
el salvador,[],country,South America,e
england,[],country,Europe,e
equatorial guinea,[],country,Africa,e
eritrea,[],country,Africa,e
estonia,[],country,Europe,e
ethiopia,[],country,Africa,e
federated states of micronesia,['micronesia'],country,Asia,f
finland,[],country,Europe,f
france,[],country,Europe,f
gabon,[],country,Africa,g
gambia,[],country,Africa,g
georgia,[],country,Europe,g
germany,[],country,Europe,g
ghana,[],country,Africa,g
greece,[],country,Europe,g
grenada,[],country,North America,g
guatemala,[],country,North America,g
guinea,[],country,Africa,g
guinea bissau,[],country,Africa,g
guyana,[],country,South America,g
haiti,[],country,North America,h
honduras,[],country,North America,h
hungary,[],country,Europe,h
iceland,[],country,Europe,i
india,[],country,Asia,i
indonesia,[],country,Asia,i
iran,[],country,Asia,i
iraq,[],country,Asia,i
ireland,[],country,Europe,i
israel,[],country,Asia,i
italy,[],country,Europe,i
jamaica,[],country,North America,j
japan,[],country,Asia,j
jordan,[],country,Asia,j
kazakhstan,[],country,Asia,k
kenya,[],country,Africa,k
kiribati,[],country,Australia,k
kosovo,[],country,Europe,k
kuwait,[],country,Asia,k
kyrgyzstan,[],country,Asia,k
laos,[],country,Asia,l
latvia,[],country,Europe,l
lebanon,[],country,Asia,l
